match_date,home_team_name,away_team_name,home_team_score,away_team_score,year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,home_winner,draw,away_winner,rank_diff,team_score_diff,score_diff,best_rank_winner
1954-07-03,Austria,Uruguay,3,1,1954,6.0,1946.0,7.0,1940.0,1,2,1,0,0,-1.0,2,6.0,1
1954-07-04,West Germany,Hungary,3,2,1954,3.0,2037.0,1.0,2192.0,0,2,1,0,0,2.0,1,-155.0,0
1958-06-08,Sweden,Mexico,3,0,1958,8.0,1901.0,28.0,1719.0,3,3,1,0,0,-20.0,3,182.0,1
1958-06-08,Argentina,West Germany,1,3,1958,6.0,1920.0,11.0,1866.0,2,1,0,0,1,-5.0,-2,54.0,0
1958-06-08,Northern Ireland,Czechoslovakia,1,0,1958,20.0,1773.0,12.0,1860.0,0,3,1,0,0,8.0,1,-87.0,0
1958-06-08,France,Paraguay,7,3,1958,4.0,1936.0,21.0,1762.0,4,2,1,0,0,-17.0,4,174.0,1
1958-06-08,Yugoslavia,Scotland,1,1,1958,9.0,1898.0,16.0,1805.0,3,1,0,1,0,-7.0,0,93.0,0
1958-06-08,Hungary,Wales,1,1,1958,2.0,1968.0,22.0,1759.0,3,0,0,1,0,-20.0,0,209.0,0
1958-06-08,Brazil,Austria,3,0,1958,1.0,2140.0,14.0,1819.0,5,2,1,0,0,-13.0,3,321.0,1
1958-06-08,Soviet Union,England,2,2,1958,5.0,1923.0,3.0,1946.0,0,2,0,1,0,2.0,0,-23.0,0
1958-06-11,Argentina,Northern Ireland,3,1,1958,6.0,1920.0,20.0,1773.0,2,0,1,0,0,-14.0,2,147.0,1
1958-06-11,West Germany,Czechoslovakia,2,2,1958,11.0,1866.0,12.0,1860.0,1,3,0,1,0,-1.0,0,6.0,0
1958-06-11,Paraguay,Scotland,3,2,1958,21.0,1762.0,16.0,1805.0,2,1,1,0,0,5.0,1,-43.0,0
1958-06-11,Yugoslavia,France,3,2,1958,9.0,1898.0,4.0,1936.0,3,4,1,0,0,5.0,1,-38.0,0
1958-06-11,Mexico,Wales,1,1,1958,28.0,1719.0,22.0,1759.0,3,0,0,1,0,6.0,0,-40.0,0
1958-06-11,Brazil,England,0,0,1958,1.0,2140.0,3.0,1946.0,5,2,0,1,0,-2.0,0,194.0,0
1958-06-11,Soviet Union,Austria,2,0,1958,5.0,1923.0,14.0,1819.0,0,2,1,0,0,-9.0,2,104.0,1
1958-06-12,Sweden,Hungary,2,1,1958,8.0,1901.0,2.0,1968.0,3,3,1,0,0,6.0,1,-67.0,0
1958-06-15,Sweden,Wales,0,0,1958,8.0,1901.0,22.0,1759.0,3,0,0,1,0,-14.0,0,142.0,0
1958-06-15,Czechoslovakia,Argentina,6,1,1958,12.0,1860.0,6.0,1920.0,3,2,1,0,0,6.0,5,-60.0,0
1958-06-15,West Germany,Northern Ireland,2,2,1958,11.0,1866.0,20.0,1773.0,1,0,0,1,0,-9.0,0,93.0,0
1958-06-15,France,Scotland,2,1,1958,4.0,1936.0,16.0,1805.0,4,1,1,0,0,-12.0,1,131.0,1
1958-06-15,Paraguay,Yugoslavia,3,3,1958,21.0,1762.0,9.0,1898.0,2,3,0,1,0,12.0,0,-136.0,0
