year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,rank_diff,score_diff,participation_diff,target
1982,6.0,1986.0,10.0,1901.0,3,5,-4.0,85.0,-2,1
1982,2.0,2019.0,7.0,1941.0,9,7,-5.0,78.0,2,1
1982,4.0,2012.0,2.0,2019.0,7,6,2.0,-7.0,1,0
1982,9.0,1910.0,23.0,1767.0,4,1,-14.0,143.0,3,0
1982,10.0,1901.0,5.0,2008.0,5,4,5.0,-107.0,1,-1
1982,7.0,1941.0,1.0,2115.0,7,11,6.0,-174.0,-4,-1
1982,4.0,2012.0,16.0,1837.0,7,5,-12.0,175.0,2,1
1982,8.0,1921.0,23.0,1767.0,7,1,-15.0,154.0,6,1
1982,5.0,2008.0,6.0,1986.0,4,3,-1.0,22.0,1,0
1982,2.0,2019.0,1.0,2115.0,9,11,1.0,-96.0,-2,1
1982,16.0,1837.0,2.0,2019.0,5,6,14.0,-182.0,-1,0
1982,6.0,1986.0,2.0,2019.0,3,9,4.0,-33.0,-6,-1
1982,4.0,2012.0,8.0,1921.0,7,7,-4.0,91.0,0,0
1982,6.0,1986.0,8.0,1921.0,3,7,-2.0,65.0,-4,1
1982,2.0,2019.0,4.0,2012.0,9,7,-2.0,7.0,2,1
